# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Optional | URLs for additional images of the item. Comma-separated list.,# Required | The brand name of the item. Character limit: 100.,# Optional | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material that the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,"# Optional | Delivery details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free delivery overlay in your ads. Use a semi-colon "";"" or a comma "";"" to separate multiple delivery details for different regions or countries. Only people in the specified region or country will see delivery details for that region or country. You can leave out the region (keep the double ""::"") if your delivery details are the same for an entire country.",# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,"# Optional | Legal disclaimer text for product offers. This text provides important legal or regulatory information that must be displayed with the product offer. For example: ""Valid while supplies last. Terms and conditions apply.""","# Optional | URL linking to the full disclaimer text. This provides a link to a page containing the complete disclaimer information for the product offer. For example: ""https://example.com/terms-and-conditions""",# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The item's Global Trade Item Number (GTIN). Recommended to help classify the item. May appear on the barcode; packaging or book cover. Only provide GTIN if you're sure that it's correct. GTIN types include UPC (12 digits); EAN (13 digits); JAN (8 or 13 digits); ISBN (13 digits) or ITF-14 (14 digits),# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,link,image_link,additional_image_link,brand,price,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
QVL-RICE-70GS5Y,Trendy Designer Thin as Rice 21 inches 2.5 gram Rice chain for women and Girls Black Silver Plated Brass Metal Chain,"Indulge in understated luxury with the viral Thin as Rice chain necklace. Crafted from premium brass with high-shine black silver micron plating, this piece features an ultra-fine rice-grain faceted weave that catches and reflects ambient light like diamonds. Measuring 21 inches in length and weighing just 2.5 grams, it provides a featherweight, skin-friendly silhouette that is barely felt yet distinctly visible. Perfect as an everyday standalone minimal necklace or for layering with your favourite pendants. 100% skin safe, lead and nickel free.",in stock,new,https://qavelle.store/products/trendy-designer-thin-as-rice-21-inches-25-gram-rice-chain-for-women-and-girls-black-silver-plated-brass-metal-chain,https://qavelle.store/g1.webp,"https://qavelle.store/g2.webp,https://qavelle.store/g3.webp",QAVELLE,999.00 INR,Apparel & Accessories > Jewelry > Necklaces,Clothing & Accessories > Jewelry > Necklaces,14,349.00 INR,,QVL-GRP-RICE-CHAIN,female,Black Silver,21 Inches,adult,Black Silver Plated Brass,Rice Grain Weave,IN::Express Delivery:0.00 INR,80 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Chains & Necklaces,Royal Viral Trend,Minimalist
QVL-DOLPHIN-F1V4I9,"Combo Of 3 Elegant Dolphin Crystals Pendant Necklace for Women Silver Plated Round Charm with Colored Stone (Pink, Purple, Sky)","An enchanting symbol of joy, freedom, harmony, and affectionate friendship. This signature viral combo includes 3 individual silver-plated pendant necklaces, each showcasing a finely sculpted leaping dolphin silhouette encircling a brilliant round faceted crystal gemstone in Blush Rose Pink, Amethyst Purple, and Ocean Sky Blue. Suspended on sleek, skin-friendly silver-plated link chains with secure lobster clasp closures. Perfect for Western chic, casual college outfits, brunch wear, and BFF gifting.",in stock,new,https://qavelle.store/products/combo-of-3-elegant-dolphin-crystals-pendant-necklace-for-women-silver-plated-round-charm-with-colored-stone-pink-purple-sky,https://qavelle.store/dolphin_f2.webp,"https://qavelle.store/dolphin_f3.webp,https://qavelle.store/dolphin_f4.webp,https://qavelle.store/dolphin_f5.webp,https://qavelle.store/dolphin_f6.webp",QAVELLE,1499.00 INR,Apparel & Accessories > Jewelry > Necklaces,Clothing & Accessories > Jewelry > Necklaces,12,499.00 INR,,QVL-GRP-DOLPHIN-COMBO,female,Pink / Purple / Sky Blue,45 cm + 5 cm Extender,adult,Silver Plated Alloy & Faceted Crystals,Dolphin Circle Charm,IN::Express Delivery:0.00 INR,130 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Combo Deals,Royal Viral Combo,Contemporary
QVL-EARRING-63UP0K,High Grade U Shaped White Enamel Handbag Drop Earrings For Women And Girls,"A breathtaking fusion of playful whimsy and modern Parisian couture elegance. Crafted with an ultra-lightweight hypoallergenic alloy core and bathed in 18K yellow gold micron plating, each earring features a dainty U-shaped miniature handbag silhouette filled with high-gloss milk-white enamel inlay and an arched golden handle. Designed with a secure click-top hinged latch back for effortless all-day comfort without tugging on ear lobes.",in stock,new,https://qavelle.store/products/suyug-high-grade-u-shaped-white-enemel-handbag-drop-earrings-for-women-and-girls,https://qavelle.store/e1.webp,"https://qavelle.store/e2.webp,https://qavelle.store/e3.webp",QAVELLE,999.00 INR,Apparel & Accessories > Jewelry > Earrings,Clothing & Accessories > Jewelry > Earrings,19,399.00 INR,,QVL-GRP-HANDBAG-EARRING,female,Gold & White Enamel,2.2 cm Drop Length,adult,18K Gold Plated Alloy & Glossy Enamel,U-Shaped Handbag Motif,IN::Express Delivery:0.00 INR,90 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Earrings & Jhumkas,Royal Viral Trending,Korean
QAV-EMERALD-SNAKE-549,Gold Plated Stainless Steel Cubic Zirconia Pendant Green Emerald Anti-Tarnish Flat Snake Chain Necklace,"Elevate your everyday luxury with this premium 18K Gold Plated Stainless Steel Flat Snake Chain Necklace featuring an opulent radiant-cut Emerald Green Cubic Zirconia solitaire pendant. Masterfully crafted from surgical-grade 316L stainless steel with a high-mirror liquid gold herringbone weave that glides seamlessly against your collarbone. Engineered with advanced anti-tarnish vacuum PVD gold plating, making it 100% waterproof, sweatproof, and shower-safe without fading. Complete with an adjustable lobster clasp extender.",in stock,new,https://qavelle.store/products/gold-plated-stainless-steel-cubic-zirconia-pendant-green-emerald-anti-tarnish-gold-plated-stainless-steel-flat-snake-chain-necklace-green-waterproof-chain-layering-pendant-gifts-for-women-and-girls,https://qavelle.store/d1.webp,"https://qavelle.store/d2.webp,https://qavelle.store/d3.webp",QAVELLE,1499.00 INR,Apparel & Accessories > Jewelry > Necklaces,Clothing & Accessories > Jewelry > Necklaces,14,549.00 INR,,QVL-GRP-EMERALD-SNAKE,female,Emerald Green & Gold,16 Inch + 2 Inch Extender,adult,18K Gold Plated 316L Stainless Steel & Emerald CZ,Liquid Flat Snake Herringbone,IN::Express Delivery:0.00 INR,110 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Anti-Tarnish Jewellery,100% Waterproof,Contemporary
QAV-AESTHETIC-COMBO2-549,Combo of 2 Aesthetic Daily Wear Pendants: Stylish Pastel Pink & Panna Green Locket with Sleek Chain,"A must-have Korean minimalist duo crafted for everyday styling. This combo pack includes 2 separate dainty pendant chains: one featuring a delicate pastel blush pink solitaire crystal locket, and the second featuring a rich royal emerald panna green crystal locket. Finished with sleek, anti-tarnish Italian link chains, hypoallergenic brass alloy, and smooth lobster clasps with 2-inch extenders. Complimentary luxury velvet gift pouch included.",in stock,new,https://qavelle.store/products/combo-of-2-aesthetic-daily-wear-pendants-stylish-pastel-pink-panna-green-locket-with-sleek-chain,https://qavelle.store/c1.webp,"https://qavelle.store/c2.webp,https://qavelle.store/c3.webp,https://qavelle.store/c4.webp,https://qavelle.store/c5.webp",QAVELLE,1499.00 INR,Apparel & Accessories > Jewelry > Necklaces,Clothing & Accessories > Jewelry > Necklaces,16,549.00 INR,,QVL-GRP-COMBO-2-PENDANTS,female,Pastel Pink & Panna Green,16 Inch + 2 Inch Extender,adult,Micro Rhodium & 18K Polish Alloy with Solitaire Crystals,Minimalist Solitaire Locket,IN::Express Delivery:0.00 INR,100 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Combo Deals,Royal Viral Trending,Minimalist
QAV-RADHIKA-AMBANI-GREEN-AD,Radhika Anant Ambani Inspired Green AD Necklace Set with Matching Drop Earrings,"Trending celebrity masterpiece inspired by Radhika Ambani. Regal Emerald Green Austrian American Diamond Choker Necklace with Matching Chandelier Earrings, crafted with skin-safe brass alloy and anti-tarnish rhodium silver plating. Features emerald-cut centerstones with micro-pave crystals. Double-layered 24K gold and rhodium polish, 100% skin safe and hypoallergenic.",in stock,new,https://qavelle.store/products/radhika-anant-ambani-inspired-green-ad-necklace-set,https://qavelle.store/radhika_ambani_1.webp,"https://qavelle.store/radhika_ambani_2.webp,https://qavelle.store/radhika_ambani_3.webp,https://qavelle.store/radhika_ambani_4.webp,https://qavelle.store/radhika_ambani_5.webp",QAVELLE,1299.00 INR,Apparel & Accessories > Jewelry > Jewelry Sets,Clothing & Accessories > Jewelry > Jewelry Sets,7,399.00 INR,,QVL-GRP-RADHIKA-GREEN,female,Colombian Emerald Green & Silver,Adjustable Free Size,adult,Rhodium Plated Brass with Emerald CZ & American Diamonds,Royal Filigree & Pave Setting,IN::Express Delivery:0.00 INR,220 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Celebrity Inspired,Trending Celebrity,Bridal
QAV-TRENDY-ALLOY-849,Trendy Alloy Gold Plated Kundan & Pearl Jewellery Set with Matching Drop Earrings,"Exquisite handcrafted alloy necklace enriched with lustrous Austrian pearls, royal kundan stones, and matching drop earrings. Engineered with a durable skin-safe base, 22K micro gold plating, and an anti-tarnish protective coating. Ideal for weddings, festive pujas, and ethnic celebrations. Complete with free luxury velvet jewelry box and certificate of authenticity.",in stock,new,https://qavelle.store/products/trendy-alloy-gold-plated-jewellery-set,https://qavelle.store/b1.webp,"https://qavelle.store/b2.webp,https://qavelle.store/b3.webp,https://qavelle.store/b4.webp,https://qavelle.store/b5.webp",QAVELLE,2799.00 INR,Apparel & Accessories > Jewelry > Jewelry Sets,Clothing & Accessories > Jewelry > Jewelry Sets,12,849.00 INR,,QVL-GRP-TRENDY-ALLOY,female,22K Gold & White Pearl,Adjustable Free Size,adult,"22K Micro Gold Plated Alloy, Kundan & Austrian Pearls",Traditional Kundan Filigree,IN::Express Delivery:0.00 INR,240 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Necklace Sets,Trendy Bestseller,Ethnic
QAV-ROYAL-GOLD-SET-849,Royal Elegant Gold Plated Jewellery Set with Matching Earrings,"Majestic 22K micro gold-plated heritage necklace set adorned with intricate leaf-shaped crystal motifs, imperial ruby-red gemstones, matching drop earrings, adjustable bracelet, and cocktail ring. Complete with free royal velvet presentation box and certificate of authenticity.",in stock,new,https://qavelle.store/products/royal-elegant-gold-plated-jewellery-set,https://qavelle.store/aa1.webp,"https://qavelle.store/aaa2.webp,https://qavelle.store/aa3.webp,https://qavelle.store/aa4.webp,https://qavelle.store/aa5.webp",QAVELLE,2799.00 INR,Apparel & Accessories > Jewelry > Jewelry Sets,Clothing & Accessories > Jewelry > Jewelry Sets,8,849.00 INR,,QVL-GRP-ROYAL-ALLURE,female,22K Gold & Imperial Ruby,Adjustable Free Size,adult,22K Micro Gold Plated Brass Alloy with Ruby Stones & Austrian Crystals,Royal Heritage Filigree,IN::Express Delivery:0.00 INR,260 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Necklace Sets,Royal Heritage,Traditional
QAV-ELEGANT-COMBO5-GLD,Elegant Everyday Necklace Set - Combo of 5 Necklaces with Cubic Zirconia Pendants,"Elegant Everyday Necklace Set - Combo of 5 Necklaces. An artificial necklace set designed for daily wear, office wear, casual outfits, college, and dresses. Crafted with brass base metal, lustrous gold plating, and sparkling Cubic Zirconia / American Diamond stones. Features sleek, subtle, and stylish long pendant chains with adjustable extenders. Wear solo for minimalist charm or layer together.",in stock,new,https://qavelle.store/products/elegant-everyday-necklace-set-combo-of-5,https://qavelle.store/elegant_combo_1.webp,"https://qavelle.store/elegant_combo_2.webp,https://qavelle.store/elegant_combo_3.webp,https://qavelle.store/elegant_combo_4.webp,https://qavelle.store/elegant_combo_5.webp",QAVELLE,999.00 INR,Apparel & Accessories > Jewelry > Necklaces,Clothing & Accessories > Jewelry > Necklaces,14,349.00 INR,,QVL-GRP-COMBO-5-ELEGANT,female,Gold,18 Inch + 2 Inch Extender,adult,Gold Plated Brass with Cubic Zirconia,Geometric Minimalist Motifs,IN::Express Delivery:0.00 INR,130 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Combo Deals,Best Value Combo,Contemporary
QAV-RHOD-AUST-CHOKER-01,Rhodium Plated Austrian Diamond Jewellery Set with Royal Kundan Pearls & Matching Earrings,"Regal Rhodium Plated Choker with White Austrian Crystals & Kundan Pearls. Includes matching royal drop earrings and maang tikka. Tarnish-resistant rhodium electroplating with comfort-fit flexible back dori with adjustable bead. Perfect for weddings, sangeet, engagement, and grand galas.",in stock,new,https://qavelle.store/products/rhodium-plated-austrian-diamond-choker-set,https://qavelle.store/Hero_website_neklace.webp,"https://qavelle.store/neklace_producshot.webp,https://qavelle.store/neklace_productshot_2.webp",QAVELLE,2999.00 INR,Apparel & Accessories > Jewelry > Jewelry Sets,Clothing & Accessories > Jewelry > Jewelry Sets,11,749.00 INR,,QVL-GRP-CHOKER-BRIDAL,female,White / Silver Sparkle,Adjustable Free Size,adult,Rhodium Plated Brass & Alloy with Austrian Crystals & Kundan Pearls,Floral Bridal Choker,IN::Express Delivery:0.00 INR,250 g,Valid while supplies last. 7-day hassle-free replacement guarantee.,https://qavelle.store/,,,,Necklace Sets,Royal Bridal,Bridal
